source,native,name,p_value,significant,description,term_size,query_size,intersection_size,effective_domain_size,precision,recall,query,parents
GO:MF,GO:0005515,protein binding,2.5865317636482583e-28,True,"""Binding to a protein."" [GOC:go_curators]",15123,1571,1354,20246,0.8618714194780395,0.08953250016531111,query_1,['GO:0005488']
GO:CC,GO:0005737,cytoplasm,2.744239364898377e-28,True,"""The contents of a cell excluding the plasma membrane and nucleus, but including other subcellular structures."" [ISBN:0198547684]",12527,1587,1113,22149,0.7013232514177694,0.08884808812963997,query_1,"['GO:0005622', 'GO:0110165']"
WP,WP:WP5345,1p36 copy number variation syndrome,7.022612107588256e-27,True,1p36 copy number variation syndrome,102,783,53,8752,0.06768837803320563,0.5196078431372549,query_1,['WP:000000']
GO:BP,GO:0048518,positive regulation of biological process,1.13660754145459e-08,True,"""Any process that activates or increases the frequency, rate or extent of a biological process. Biological processes are regulated by many means; examples include the control of gene expression, protein modification or interaction with a protein or substrate molecule."" [GOC:jid]",6264,1488,562,21026,0.37768817204301075,0.08971902937420179,query_1,"['GO:0008150', 'GO:0050789']"
GO:CC,GO:0005829,cytosol,1.4549962496102857e-08,True,"""The part of the cytoplasm that does not contain organelles but which does contain other particulate matter, such as protein complexes."" [GOC:hjd, GOC:jl]",5534,1587,508,22149,0.3201008191556396,0.09179616913624865,query_1,"['GO:0005737', 'GO:0110165']"
GO:CC,GO:0005654,nucleoplasm,2.454891386390382e-08,True,"""That part of the nuclear content other than the chromosomes or the nucleolus."" [GOC:ma, ISBN:0124325653]",4255,1587,406,22149,0.25582860743541275,0.09541715628672151,query_1,"['GO:0031981', 'GO:0110165']"
GO:BP,GO:0032502,developmental process,3.2890096051577354e-08,True,"""A biological process whose specific outcome is the progression of an integrated living unit: an anatomical structure (which may be a subcellular structure, cell, tissue, or organ), or organism over time from an initial condition to a later condition."" [GOC:isa_complete]",6553,1488,581,21026,0.3904569892473118,0.08866168167251641,query_1,['GO:0008150']
GO:BP,GO:0048856,anatomical structure development,3.405333429168711e-08,True,"""The biological process whose specific outcome is the progression of an anatomical structure from an initial condition to its mature state. This process begins with the formation of the structure and ends with the mature structure, whatever form that may be including its natural destruction. An anatomical structure is any biological entity that occupies space and is distinguished from its surroundings. Anatomical structures can be macroscopic such as a carpel, or microscopic such as an acrosome."" [GO_REF:0000021]",5997,1488,539,21026,0.36223118279569894,0.08987827246956812,query_1,['GO:0032502']
GO:CC,GO:0110165,cellular anatomical structure,5.520688007662638e-07,True,"""A part of a cellular organism consisting of a material entity with granularity above the level of a protein complex but below that of an anatomical system. Note that cellular organisms exclude viruses."" [GOC:kmv]",21620,1587,1579,22149,0.9949590422180214,0.07303422756706753,query_1,['GO:0005575']
HP,HP:0000892,Bifid ribs,1.061209781447148e-06,True,"A bifid rib refers to cleavage of the sternal end of a rib, usually unilateral. Bifid ribs are usually asymptomatic, and are often discovered incidentally by chest x-ray.",17,433,12,5080,0.02771362586605081,0.7058823529411765,query_1,['HP:0000772']
GO:BP,GO:0048522,positive regulation of cellular process,1.52390431211293e-06,True,"""Any process that activates or increases the frequency, rate or extent of a cellular process, any of those that are carried out at the cellular level, but are not necessarily restricted to a single cell. For example, cell communication occurs among more than one cell, but occurs at the cellular level."" [GOC:jid]",5920,1488,523,21026,0.35147849462365593,0.0883445945945946,query_1,"['GO:0009987', 'GO:0048518', 'GO:0050794']"
GO:BP,GO:0051239,regulation of multicellular organismal process,1.965273949342312e-06,True,"""Any process that modulates the frequency, rate or extent of a multicellular organismal process, the processes pertinent to the function of a multicellular organism above the cellular level; includes the integrated processes of tissues and organs."" [GOC:ai, GOC:dph, GOC:tb]",2956,1488,291,21026,0.19556451612903225,0.09844384303112313,query_1,"['GO:0032501', 'GO:0050789']"
GO:CC,GO:1903561,extracellular vesicle,3.742422686999043e-06,True,"""Any vesicle that is part of the extracellular region."" [GO_REF:0000064, GOC:pm, GOC:TermGenie, PMID:24769233]",2141,1587,221,22149,0.13925645872715817,0.10322279308734236,query_1,"['GO:0031982', 'GO:0065010']"
GO:CC,GO:0043230,extracellular organelle,3.891751082859254e-06,True,"""Organized structure of distinctive morphology and function, occurring outside the cell. Includes, for example, extracellular membrane vesicles (EMVs) and the cellulosomes of anaerobic bacteria and fungi."" [GOC:jl, PMID:9914479]",2142,1587,221,22149,0.13925645872715817,0.10317460317460317,query_1,"['GO:0005576', 'GO:0043226']"
GO:CC,GO:0065010,extracellular membrane-bounded organelle,3.891751082859254e-06,True,"""Organized structure of distinctive morphology and function, bounded by a lipid bilayer membrane and occurring outside the cell."" [GOC:isa_complete]",2142,1587,221,22149,0.13925645872715817,0.10317460317460317,query_1,"['GO:0043227', 'GO:0043230']"
GO:CC,GO:0070062,extracellular exosome,4.632663165239924e-06,True,"""A vesicle that is released into the extracellular region by fusion of the limiting endosomal membrane of a multivesicular body with the plasma membrane. Extracellular exosomes, also simply called exosomes, have a diameter of about 40-100 nm."" [GOC:BHF, GOC:mah, GOC:vesicles, PMID:15908444, PMID:17641064, PMID:19442504, PMID:19498381, PMID:22418571, PMID:24009894]",2111,1587,218,22149,0.13736609955891618,0.10326859308384652,query_1,"['GO:0005615', 'GO:1903561']"
GO:BP,GO:0051716,cellular response to stimulus,5.0326969020981255e-06,True,"""Any process that results in a change in state or activity of a cell (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a stimulus. The process begins with detection of the stimulus by a cell and ends with a change in state or activity or the cell."" [GOC:bf, GOC:jl]",7376,1488,628,21026,0.4220430107526882,0.0851409978308026,query_1,"['GO:0009987', 'GO:0050896']"
GO:CC,GO:0031982,vesicle,6.212982428241513e-06,True,"""Any small, fluid-filled, spherical organelle enclosed by membrane."" [GOC:mah, GOC:pz, GOC:vesicles]",4033,1587,374,22149,0.23566477630749844,0.09273493677163402,query_1,['GO:0043227']
GO:BP,GO:0050896,response to stimulus,9.473062773966202e-06,True,"""Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a stimulus. The process begins with detection of the stimulus and ends with a change in state or activity or the cell or organism."" [GOC:ai, GOC:bf]",8999,1488,744,21026,0.5,0.0826758528725414,query_1,['GO:0008150']
GO:BP,GO:0044281,small molecule metabolic process,1.1689769515033774e-05,True,"""The chemical reactions and pathways involving small molecules, any low molecular weight, monomeric, non-encoded molecule."" [GOC:curators, GOC:pde, GOC:vw]",1776,1488,189,21026,0.12701612903225806,0.10641891891891891,query_1,['GO:0008152']
GO:BP,GO:0048468,cell development,2.1002856228664955e-05,True,"""The cellular developmental process in which a specific cell progresses from an immature to a mature state. Cell development start once cell commitment has taken place."" [GOC:go_curators]",2876,1488,279,21026,0.1875,0.09700973574408901,query_1,"['GO:0030154', 'GO:0048856', 'GO:0048869']"
GO:MF,GO:0005488,binding,6.384770615162899e-05,True,"""The selective, non-covalent, often stoichiometric, interaction of a molecule with one or more specific sites on another molecule."" [GOC:ceb, GOC:mah, ISBN:0198506732]",18498,1571,1488,20246,0.9471674092934437,0.08044112877067791,query_1,['GO:0003674']
GO:BP,GO:0032501,multicellular organismal process,6.630311681322159e-05,True,"""Any biological process, occurring at the level of a multicellular organism, pertinent to its function."" [GOC:curators, GOC:dph, GOC:isa_complete, GOC:tb]",7322,1488,616,21026,0.41397849462365593,0.0841300191204589,query_1,['GO:0008150']
GO:BP,GO:0065007,biological regulation,6.635380847606346e-05,True,"""Any process that modulates a measurable attribute of any biological process, quality or function."" [GOC:dph, GOC:isa_complete, GOC:mah, GOC:pr, GOC:vw]",12743,1488,1000,21026,0.6720430107526881,0.0784744565643883,query_1,['GO:0008150']
GO:BP,GO:0050789,regulation of biological process,6.898192269525088e-05,True,"""Any process that modulates the frequency, rate or extent of a biological process. Biological processes are regulated by many means; examples include the control of gene expression, protein modification or interaction with a protein or substrate molecule."" [GOC:ai, GOC:go_curators]",12336,1488,972,21026,0.6532258064516129,0.07879377431906615,query_1,"['GO:0008150', 'GO:0065007']"
GO:BP,GO:0009893,positive regulation of metabolic process,8.395333702962873e-05,True,"""Any process that activates or increases the frequency, rate or extent of the chemical reactions and pathways within a cell or an organism."" [GOC:go_curators]",3597,1488,333,21026,0.22379032258064516,0.09257714762301918,query_1,"['GO:0008152', 'GO:0019222', 'GO:0048522']"
GO:BP,GO:0007275,multicellular organism development,0.0001517270661042773,True,"""The biological process whose specific outcome is the progression of a multicellular organism over time from an initial condition (e.g. a zygote or a young adult) to a later condition (e.g. a multicellular animal or an aged adult)."" [GOC:dph, GOC:ems, GOC:isa_complete, GOC:tb]",4727,1488,419,21026,0.28158602150537637,0.08863972921514703,query_1,"['GO:0032501', 'GO:0048856']"
GO:CC,GO:0012505,endomembrane system,0.00020645262639628942,True,"""A collection of membranous structures involved in transport within the cell. The main components of the endomembrane system are endoplasmic reticulum, Golgi bodies, vesicles, cell membrane and nuclear envelope. Members of the endomembrane system pass materials through each other or though the use of vesicles."" [GOC:lh]",4872,1587,429,22149,0.27032136105860116,0.08805418719211823,query_1,['GO:0110165']
GO:BP,GO:0050794,regulation of cellular process,0.00024135845499106425,True,"""Any process that modulates the frequency, rate or extent of a cellular process, any of those that are carried out at the cellular level, but are not necessarily restricted to a single cell. For example, cell communication occurs among more than one cell, but occurs at the cellular level."" [GOC:go_curators]",11946,1488,941,21026,0.6323924731182796,0.0787711367821865,query_1,"['GO:0009987', 'GO:0050789']"
GO:BP,GO:0030154,cell differentiation,0.0002725874890259132,True,"""The cellular developmental process in which a relatively unspecialized cell, e.g. embryonic or regenerative cell, acquires specialized structural and/or functional features that characterize a specific cell. Differentiation includes the processes involved in commitment of a cell to a specific fate and its subsequent development to the mature state."" [ISBN:0198506732]",4437,1488,395,21026,0.2654569892473118,0.08902411539328375,query_1,['GO:0048869']
GO:BP,GO:0048869,cellular developmental process,0.000279715629924183,True,"""A biological process whose specific outcome is the progression of a cell over time from an initial condition to a later condition."" [GOC:isa_complete]",4438,1488,395,21026,0.2654569892473118,0.08900405588102749,query_1,"['GO:0009987', 'GO:0032502']"
MIRNA,MIRNA:hsa-mir-508-5p,hsa-mir-508-5p,0.0003909049647866111,True,hsa-mir-508-5p,1820,1465,220,16638,0.15017064846416384,0.12087912087912088,query_1,['MIRNA:000000']
GO:BP,GO:0023052,signaling,0.00046933250877635897,True,"""The entirety of a process in which information is transmitted within a biological system. This process begins with an active signal and ends when a cellular response has been triggered."" [GOC:mtg_signal, GOC:mtg_signaling_feb11, GOC:signaling]",6515,1488,550,21026,0.3696236559139785,0.0844205679201842,query_1,['GO:0050789']
GO:BP,GO:0006950,response to stress,0.0005796005332359765,True,"""Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a disturbance in organismal or cellular homeostasis, usually, but not necessarily, exogenous (e.g. temperature, humidity, ionizing radiation)."" [GOC:mah]",3948,1488,355,21026,0.2385752688172043,0.08991894630192503,query_1,['GO:0050896']
GO:CC,GO:0005794,Golgi apparatus,0.0005887426593446115,True,"""A membrane-bound cytoplasmic organelle of the endomembrane system that further processes the core oligosaccharides (e.g. N-glycans) added to proteins in the endoplasmic reticulum and packages them into membrane-bound vesicles. The Golgi apparatus operates at the intersection of the secretory, lysosomal, and endocytic pathways."" [ISBN:0198506732]",1659,1587,169,22149,0.10649023314429741,0.10186859553948162,query_1,"['GO:0005737', 'GO:0012505', 'GO:0043231']"
MIRNA,MIRNA:hsa-mir-3132,hsa-mir-3132,0.0006423836203133011,True,hsa-mir-3132,580,1465,87,16638,0.059385665529010236,0.15,query_1,['MIRNA:000000']
GO:BP,GO:0010604,positive regulation of macromolecule metabolic process,0.0006675815014227038,True,"""Any process that increases the frequency, rate or extent of the chemical reactions and pathways involving macromolecules, any molecule of high relative molecular mass, the structure of which essentially comprises the multiple repetition of units derived, actually or conceptually, from molecules of low relative molecular mass."" [GOC:dph, GOC:tb]",3288,1488,303,21026,0.20362903225806453,0.09215328467153285,query_1,"['GO:0009893', 'GO:0043170', 'GO:0060255']"
GO:MF,GO:0003824,catalytic activity,0.0007283900112271248,True,"""Catalysis of a biochemical reaction at physiological temperatures. In biologically catalyzed reactions, the reactants are known as substrates, and the catalysts are naturally occurring macromolecular substances known as enzymes. Enzymes possess specific binding sites for substrates, and are usually composed wholly or largely of protein, but RNA that has catalytic activity (ribozyme) is often also regarded as enzymatic."" [GOC:vw, ISBN:0198506732]",6817,1571,615,20246,0.3914704010184596,0.09021563737714537,query_1,['GO:0003674']
GO:BP,GO:0007154,cell communication,0.0008096431707980473,True,"""Any process that mediates interactions between a cell and its surroundings. Encompasses interactions such as signaling or attachment between one cell and another cell, between a cell and an extracellular matrix, or between a cell and any other aspect of its environment."" [GOC:mah]",6540,1488,550,21026,0.3696236559139785,0.08409785932721713,query_1,['GO:0009987']
MIRNA,MIRNA:hsa-mir-4716-3p,hsa-mir-4716-3p,0.0012067489588209223,True,hsa-mir-4716-3p,941,1465,126,16638,0.08600682593856655,0.1339001062699256,query_1,['MIRNA:000000']
HPA,HPA:0320000,Nasopharynx,0.001374295776551418,True,Nasopharynx,7187,1001,718,10995,0.7172827172827173,0.09990260192013357,query_1,['HPA:0000000']
GO:CC,GO:0005576,extracellular region,0.0014772021333826187,True,"""The space external to the outermost structure of a cell. For cells without external protective or external encapsulating structures this refers to space outside of the plasma membrane. This term covers the host cell environment outside an intracellular parasite."" [GOC:go_curators]",4258,1587,375,22149,0.23629489603024575,0.08806951620479098,query_1,['GO:0110165']
TF,TF:M04934_1,Factor: TR4; motif: ACCCCGS; match class: 1,0.001507379561046736,True,Factor: TR4; motif: ACCCCGS; match class: 1,15829,1713,1428,20092,0.8336252189141856,0.09021416387642933,query_1,['TF:M04934']
GO:CC,GO:0005615,extracellular space,0.0015927020805057992,True,"""That part of a multicellular organism outside the cells proper, usually taken to be outside the plasma membranes, and occupied by fluid."" [ISBN:0198547684]",3315,1587,301,22149,0.18966603654694392,0.09079939668174962,query_1,"['GO:0005576', 'GO:0110165']"
GO:MF,GO:0019770,IgG receptor activity,0.0016072482060306742,True,"""Combining with an immunoglobulin of an IgG isotype via the Fc region, and transmitting the signal from one side of the membrane to the other to initiate a change in cell activity."" [GOC:add, GOC:signaling, ISBN:0781735149]",5,1571,5,20246,0.003182686187141948,1.0,query_1,['GO:0019763']
GO:MF,GO:1901363,heterocyclic compound binding,0.001833251381473578,True,"""Binding to heterocyclic compound."" [GOC:TermGenie]",2558,1571,258,20246,0.16422660725652452,0.10086004691164972,query_1,['GO:0036094']
GO:MF,GO:0043168,anion binding,0.0018408748602981324,True,"""Binding to an anion, a charged atom or group of atoms with a net negative charge."" [GOC:jl]",2685,1571,269,20246,0.17122851686823679,0.10018621973929237,query_1,['GO:0043167']
GO:MF,GO:0016765,"transferase activity, transferring alkyl or aryl (other than methyl) groups",0.0022946008715275194,True,"""Catalysis of the transfer of an alkyl or aryl (but not methyl) group from one compound (donor) to another (acceptor)."" [EC:2.5.1.-]",63,1571,17,20246,0.010821133036282623,0.2698412698412698,query_1,['GO:0016740']
GO:CC,GO:0016020,membrane,0.0026734626347896646,True,"""A lipid bilayer along with all the proteins and protein complexes embedded in it and attached to it."" [GOC:dos, GOC:mah, ISBN:0815316194]",9953,1587,797,22149,0.5022054190296156,0.08007635888676781,query_1,['GO:0110165']
TF,TF:M07039_1,Factor: ETF; motif: CCCCGCCCCYN; match class: 1,0.0032767706286625686,True,Factor: ETF; motif: CCCCGCCCCYN; match class: 1,14026,1713,1282,20092,0.7483946293053123,0.09140168258947669,query_1,['TF:M07039']
TF,TF:M10026,Factor: PATZ; motif: GGGGNGGGGGMKGGRRNGGNRN,0.0033315705569410973,True,Factor: PATZ; motif: GGGGNGGGGGMKGGRRNGGNRN,8522,1713,821,20092,0.4792761237594863,0.09633888758507393,query_1,['TF:M00000']
GO:BP,GO:0006796,phosphate-containing compound metabolic process,0.00401346763782497,True,"""The chemical reactions and pathways involving the phosphate group, the anion or salt of any phosphoric acid."" [GOC:ai]",2407,1488,228,21026,0.1532258064516129,0.09472372247611134,query_1,['GO:0006793']
KEGG,KEGG:00900,Terpenoid backbone biosynthesis,0.0041082855726761024,True,Terpenoid backbone biosynthesis,22,705,9,8484,0.01276595744680851,0.4090909090909091,query_1,['KEGG:00000']
GO:BP,GO:0070458,cellular detoxification of nitrogen compound,0.0042001716464403855,True,"""Any cellular process that reduces or removes the toxicity of nitrogenous compounds which are dangerous or toxic. This includes the aerobic conversion of toxic compounds to harmless substances."" [GOC:mah]",5,1488,5,21026,0.003360215053763441,1.0,query_1,"['GO:0033554', 'GO:0051410', 'GO:1990748']"
GO:BP,GO:0051410,detoxification of nitrogen compound,0.0042001716464403855,True,"""Any process that reduces or removes the toxicity of nitrogenous compounds which are dangerous or toxic. This includes the aerobic conversion of toxic compounds to harmless substances."" [GOC:ai]",5,1488,5,21026,0.003360215053763441,1.0,query_1,"['GO:0098754', 'GO:1901698']"
